Table_Id,City,Place_Fips,Geo_Id,State,State_Fips,Total_Population
100085,Kachemak,36540,16000US0236540,AK,2,551
100086,Kake,36770,16000US0236770,AK,2,628
100087,Kaktovik,36990,16000US0236990,AK,2,155
100088,Kalifornsky,37250,16000US0237250,AK,2,7965
100089,Kaltag,37430,16000US0237430,AK,2,192
100090,Karluk,37540,16000US0237540,AK,2,44
100091,Kasaan,37650,16000US0237650,AK,2,71
100092,Kasigluk,37975,16000US0237975,AK,2,599
100093,Kasilof,38090,16000US0238090,AK,2,388
100094,Kenai,38420,16000US0238420,AK,2,7463
100095,Kenny Lake,38910,16000US0238910,AK,2,128
100096,Ketchikan,38970,16000US0238970,AK,2,8197
100097,Kiana,39300,16000US0239300,AK,2,380
100098,King Cove,39410,16000US0239410,AK,2,1074
100099,King Salmon,39630,16000US0239630,AK,2,340
100100,Kipnuk,39740,16000US0239740,AK,2,686
100101,Kivalina,39960,16000US0239960,AK,2,576
100102,Klawock,40400,16000US0240400,AK,2,792
100103,Klukwan,40510,16000US0240510,AK,2,66
100104,Knik-Fairview,40645,16000US0240645,AK,2,16017
100105,Knik River,40670,16000US0240670,AK,2,765
100106,Kobuk,40840,16000US0240840,AK,2,159
100107,Kodiak,40950,16000US0240950,AK,2,6293
100108,Kodiak Station,41210,16000US0241210,AK,2,1398
100109,Kokhanok,41280,16000US0241280,AK,2,145
100110,Koliganek,41500,16000US0241500,AK,2,129
100111,Kongiganak,41610,16000US0241610,AK,2,408
100112,Kotlik,41720,16000US0241720,AK,2,643
100113,Kotzebue,41830,16000US0241830,AK,2,3283
100114,Koyuk,41940,16000US0241940,AK,2,272
100115,Koyukuk,42050,16000US0242050,AK,2,80
100116,Kupreanof,42160,16000US0242160,AK,2,40
100117,Kwethluk,42380,16000US0242380,AK,2,824
100118,Kwigillingok,42490,16000US0242490,AK,2,331
100119,Lake Louise,42805,16000US0242805,AK,2,45
100120,Lake Minchumina,42820,16000US0242820,AK,2,21
100121,Lakes,42832,16000US0242832,AK,2,9028
100122,Larsen Bay,43040,16000US0243040,AK,2,61
100123,Lazy Mountain,43260,16000US0243260,AK,2,1637
100124,Levelock,43810,16000US0243810,AK,2,114
100125,Lime Village,44030,16000US0244030,AK,2,7
